RL,8450,Lvl,AllPub,_1Fam,7,2003,TA,PConc,856,GasA,Ex,856,854,1710,3,1,8,2003,548,Y,0,NA,NA,2,2008,WD,Normal,208500
RL,9600,Lvl,AllPub,_1Fam,6,1976,TA,CBlock,1262,GasA,Ex,1262,0,1262,3,1,6,1976,460,Y,0,NA,NA,5,2007,WD,Normal,181500
RL,11250,Lvl,AllPub,_1Fam,7,2001,TA,PConc,920,GasA,Ex,920,866,1786,3,1,6,2001,608,Y,0,NA,NA,9,2008,WD,Normal,223500
RL,9550,Lvl,AllPub,_1Fam,7,1915,TA,BrkTil,756,GasA,Gd,961,756,1717,3,1,7,1998,642,Y,0,NA,NA,2,2006,WD,Abnorml,140000
RL,14260,Lvl,AllPub,_1Fam,8,2000,TA,PConc,1145,GasA,Ex,1145,1053,2198,4,1,9,2000,836,Y,0,NA,NA,12,2008,WD,Normal,250000
RL,14115,Lvl,AllPub,_1Fam,5,1993,TA,Wood,796,GasA,Ex,796,566,1362,1,1,5,1993,480,Y,0,NA,MnPrv,10,2009,WD,Normal,143000
RL,10084,Lvl,AllPub,_1Fam,8,2004,TA,PConc,1686,GasA,Ex,1694,0,1694,3,1,7,2004,636,Y,0,NA,NA,8,2007,WD,Normal,307000
RL,10382,Lvl,AllPub,_1Fam,7,1973,TA,CBlock,1107,GasA,Ex,1107,983,2090,3,1,7,1973,484,Y,0,NA,NA,11,2009,WD,Normal,200000
RM,6120,Lvl,AllPub,_1Fam,7,1931,TA,BrkTil,952,GasA,Gd,1022,752,1774,2,2,8,1931,468,Y,0,NA,NA,4,2008,WD,Abnorml,129900
RL,7420,Lvl,AllPub,_2FmCon,5,1939,TA,BrkTil,991,GasA,Ex,1077,0,1077,2,2,5,1939,205,Y,0,NA,NA,1,2008,WD,Normal,118000
RL,11200,Lvl,AllPub,_1Fam,5,1965,TA,CBlock,1040,GasA,Ex,1040,0,1040,3,1,5,1965,384,Y,0,NA,NA,2,2008,WD,Normal,129500
RL,11924,Lvl,AllPub,_1Fam,9,2005,TA,PConc,1175,GasA,Ex,1182,1142,2324,4,1,11,2005,736,Y,0,NA,NA,7,2006,New,Partial,345000
RL,12968,Lvl,AllPub,_1Fam,5,1962,TA,CBlock,912,GasA,TA,912,0,912,2,1,4,1962,352,Y,0,NA,NA,9,2008,WD,Normal,144000
RL,10652,Lvl,AllPub,_1Fam,7,2006,TA,PConc,1494,GasA,Ex,1494,0,1494,3,1,7,2006,840,Y,0,NA,NA,8,2007,New,Partial,279500
RL,10920,Lvl,AllPub,_1Fam,6,1960,TA,CBlock,1253,GasA,TA,1253,0,1253,2,1,5,1960,352,Y,0,NA,GdWo,5,2008,WD,Normal,157000
RM,6120,Lvl,AllPub,_1Fam,7,1929,TA,BrkTil,832,GasA,Ex,854,0,854,2,1,5,1991,576,Y,0,NA,GdPrv,7,2007,WD,Normal,132000
RL,11241,Lvl,AllPub,_1Fam,6,1970,TA,CBlock,1004,GasA,Ex,1004,0,1004,2,1,5,1970,480,Y,0,NA,NA,3,2010,WD,Normal,149000
RL,10791,Lvl,AllPub,Duplex,4,1967,TA,Slab,0,GasA,TA,1296,0,1296,2,2,6,1967,516,Y,0,NA,NA,10,2006,WD,Normal,90000
RL,13695,Lvl,AllPub,_1Fam,5,2004,TA,PConc,1114,GasA,Ex,1114,0,1114,3,1,6,2004,576,Y,0,NA,NA,6,2008,WD,Normal,159000
RL,7560,Lvl,AllPub,_1Fam,5,1958,TA,CBlock,1029,GasA,TA,1339,0,1339,3,1,6,1958,294,Y,0,NA,MnPrv,5,2009,COD,Abnorml,139000
RL,14215,Lvl,AllPub,_1Fam,8,2005,TA,PConc,1158,GasA,Ex,1158,1218,2376,4,1,9,2005,853,Y,0,NA,NA,11,2006,New,Partial,325300
RM,7449,Bnk,AllPub,_1Fam,7,1930,TA,PConc,637,GasA,Ex,1108,0,1108,3,1,6,1930,280,N,0,NA,GdPrv,6,2007,WD,Normal,139400
RL,9742,Lvl,AllPub,_1Fam,8,2002,TA,PConc,1777,GasA,Ex,1795,0,1795,3,1,7,2002,534,Y,0,NA,NA,9,2008,WD,Normal,230000
RM,4224,Lvl,AllPub,TwnhsE,5,1976,TA,PConc,1040,GasA,TA,1060,0,1060,3,1,6,1976,572,Y,0,NA,NA,6,2007,WD,Normal,129900
RL,8246,Lvl,AllPub,_1Fam,5,1968,Gd,CBlock,1060,GasA,Ex,1060,0,1060,3,1,6,1968,270,Y,0,NA,MnPrv,5,2010,WD,Normal,154000
RL,14230,Lvl,AllPub,_1Fam,8,2007,TA,PConc,1566,GasA,Ex,1600,0,1600,3,1,7,2007,890,Y,0,NA,NA,7,2009,WD,Normal,256300
